DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
China;76.9;14;8.1;16057;0.806;11.7;0.58;27.4;0.557;0.957;12633;29;7.6;24.9;60.5;1433.80;60.3;85;1014;164.5;38.4;2
Ecuador;77;14.6;8.9;11044;0.776;13.9;0.605;29.9;0.498;0.967;7874;59;79.3;38;55.2;17.4;64;1.7;11.3;1.3;27.9;2
SaintLucia;76.2;14;8.5;14616;0.773;12.6;0.588;27.4;0.547;0.985;11476;117;40.5;20.7;59.5;0.2;18.8;0;0.1;0;34.5;2
Azerbaijan;73;12.9;10.6;13784;0.702;5.3;0.673;8.9;0.678;0.943;8919;26;55.8;16.8;63.4;10;56;0.8;7;0.6;32.3;2
DominicanRepublic;74.1;14.2;8.1;17591;0.691;15.8;0.56;30.4;0.544;0.999;12449;95;94.3;24.3;51.4;10.7;81.8;1;7;0.8;28;2
MoldovaRepublicof;71.9;11.5;11.7;13664;0.722;7.3;0.659;14;0.639;1.014;11994;19;22.4;25.7;40.5;4;42.7;0.2;2.9;0.5;37.6;2
Algeria;76.9;14.6;8;11174;0.752;33.7;0.445;11.4;0.631;0.858;3296;112;10.1;21.5;14.6;43.1;73.2;5;27.1;2.8;28.5;2
Lebanon;78.9;11.3;8.7;14655;0.84;6.2;0.567;0;0;0.892;6078;29;14.5;4.7;22.9;6.9;88.8;0.6;4.6;0.5;29.6;2
Fiji;67.4;14.4;10.9;13009;0.621;0;0;0;0;0;8317;34;49.4;19.6;38.5;0.9;56.8;0.1;0.6;0.1;27.9;2
Dominica;78.2;13;8.1;11884;0;0;0;0;0;0;0;0;0;25;0;0.1;70.8;0;0;0;0;2
Maldives;78.9;12.2;7;17417;0.852;29.3;0.405;25.8;0.578;0.923;7908;53;7.8;4.6;41.6;0.5;40.2;0;0.4;0;29.9;2
Tunisia;76.7;15.1;7.2;10414;0.794;30.7;0.458;16.9;0.583;0.9;4587;43;7.8;22.6;23.8;11.7;69.3;1;7.9;1;32.8;2
SaintVincentandtheGrenadines;72.5;14.1;8.8;12378;0.717;0;0;0;0;0.965;8880;68;49;13;54.4;0.1;52.6;0;0.1;0;32.9;2
Suriname;71.7;13.2;9.3;14324;0.693;18.4;0.551;46.7;0.4;0.985;9504;120;61.7;31.4;38.8;0.6;66.1;0.1;0.4;0;29;2
Mongolia;69.9;14.2;10.3;10839;0.667;11.9;0.649;16.9;0.588;1.023;8756;45;31;17.3;53.3;3.2;68.5;0.4;2.1;0.1;28.2;2
Botswana;69.6;12.8;9.6;16437;0.615;23.3;0.518;0;0;0.998;15276;144;46.1;10.8;65.4;2.3;70.2;0.3;1.4;0.1;24;2
Jamaica;74.5;13.1;9.7;9319;0.754;5.6;0.651;32;0.466;0.994;7501;80;52.8;19;59.8;2.9;56;0.2;2;0.3;30.7;2
Jordan;74.5;11.4;10.5;9858;0.75;15.4;0.564;17.9;0.569;0.875;3324;46;25.9;15.4;14.4;10.1;91.2;1.1;6.3;0.4;23.8;2
